,Player,Team,GP,GS,Min,PTS,PM_2,PA_2,P2proc,PM_3,PA_3,P3proc,FTM,FTA,FTAproc,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
65,M. ROZICMARIN ROZIC,CIB,86,28,17,5,1.4,3.1,45.6,0.4,1.3,28.6,1.1,1.5,78.4,0.6,2.1,2.8,0.5,0.9,1,0.1,0.3,2.2,1.4,4.3
66,T. RESSTOMAS RESS,"PES, FOR, MPS",160,26,12,3.8,0.9,1.7,51.8,0.5,1.2,39.5,0.6,0.8,73.2,0.6,1.6,2.2,0.3,0.4,0.4,0.5,0,1.4,0.9,4.4
67,T. KLIMAVICIUSTADAS KLIMAVICIUS,ZAL,82,16,15,4.2,1.3,2.8,46.5,0.3,1.2,24,0.7,1.1,60.4,1.3,2,3.3,0.7,0.2,1,0.5,0.3,1.4,1.2,4.4
68,T. DELININKAITISTOMAS DELININKAITIS,"LIE, ZAL",51,11,14,6.3,0.8,2,40,1.1,2.9,36,1.6,2,76.9,0.3,0.9,1.2,1.3,0.5,1.2,0,0.1,1.8,1.8,4.5
69,P. VASILOPOULOSPANAGIOTIS VASILOPOULOS,OLY,95,26,17,5.4,1.1,2.5,44.4,0.8,1.9,40.9,0.8,1.2,66.7,0.6,2.5,3.1,0.8,0.6,1.2,0.6,0.2,2.8,1.2,4.5
70,A. NOUAAMINE NOUA,ASV,83,29,16,5.5,1.4,2.6,52.8,0.8,2.3,33,0.5,0.7,70.2,0.5,2,2.5,0.7,0.3,0.8,0.3,0.2,1.6,0.8,4.5
71,D. ANDJUSICDANILO ANDJUSIC,"UNK, ASM, PAR",82,11,13,6,0.8,1.9,44.8,0.9,2.5,37.1,1.6,1.8,85.9,0.2,0.9,1.1,0.9,0.3,1.1,0,0.1,1.4,1.6,4.5
72,D. BERTANSDAIRIS BERTANS,"PAR, DDI, AXM, KHI",123,35,17,6.1,0.6,1.5,40.4,1.3,3,44.1,0.9,1.1,84,0.3,0.6,0.9,1.1,0.4,0.6,0,0.2,1.9,1.4,4.5
73,M. MARKOISHVILIMANUCHAR MARKOISHVILI,"TRE, LJU, CTU, GSL, CSK, DDI, ASM",126,58,18,6.4,1.4,3,44.9,1,2.6,36.7,0.8,1,80.9,0.5,1.3,1.8,1.1,0.8,1,0.1,0.2,2.6,1.7,4.5
74,J. POLJAKJOSKO POLJAK,"CSK, CIB, LJU",70,41,14,4.9,2.1,4,51.6,0,0.1,0,0.8,1.5,53.9,1.2,2.1,3.3,0.4,0.4,1,0.3,0.3,2.6,1.9,4.6
75,S. MONIASERGEY MONIA,"CSK, DYN, KHI",243,76,16,4.9,0.7,1.5,46.4,1,2.7,38.9,0.4,0.5,79.6,0.7,2,2.6,1,0.6,0.8,0.5,0.1,2.1,0.6,4.6
76,B. SEKULICBLAGOTA SEKULIC,"BUD, PAR, AEK, RMD, BER, FBU",65,17,13,4.3,1.7,2.9,57.9,0.1,0.4,25,0.6,1.2,52.6,1.4,1.5,2.9,0.2,0.4,0.6,0.2,0.1,1.8,1.1,4.6
77,J. DIBARTOLOMEOJOHN DIBARTOLOMEO,MTA,162,12,13,4.8,0.5,1.2,43.3,1,2.6,37.1,0.9,1,91.1,0.4,1,1.4,1.2,0.6,0.5,0,0.1,1.9,1.4,4.6
78,G. SHELEFGUR SHELEF,MAC,70,13,11,4.2,1.3,2.4,53.6,0.1,0.3,45,1.3,1.8,71.2,0.5,1.2,1.7,1.1,0.5,0.8,0.1,0.2,1.9,1.6,4.7
79,D. SHARPDERRICK SHARP,MAC,195,23,17,6,0.7,1.4,51.3,1.1,2.6,42.8,1.2,1.3,88.9,0.3,0.9,1.2,0.9,0.8,0.7,0,0.1,2.4,1.3,4.7
80,R. SEIBUTISRENALDAS SEIBUTIS,"OLY, LRY, ZAL",97,44,18,6.4,1.7,3.7,45.8,0.5,1.6,31.4,1.5,1.8,83.7,0.5,1.5,1.9,1.3,0.6,1.3,0.1,0.4,2.1,1.6,4.7
81,A. DIOTANTOINE DIOT,"LMS, SIG, VBC, ASV",126,48,17,4.5,0.6,1.3,44.6,0.9,2.4,38.6,0.6,0.7,78.9,0.2,1.2,1.4,2.4,0.7,1.4,0,0.1,1.8,1.3,4.7
82,V. MANTZARISVANGELIS MANTZARIS,OLY,210,159,20,4.3,0.4,1.1,40.7,1,2.7,35.5,0.5,0.8,67.6,0.4,2,2.5,2.1,0.6,0.8,0,0.1,2.4,1.2,4.7
83,E. ARSLANENDER ARSLAN,"BKN, LJU, EFS, GSL, DDI",243,52,17,5.6,0.9,2.1,41.9,0.9,2.8,32.2,1.2,1.7,70.2,0.2,0.9,1.1,1.9,0.6,1.1,0,0.1,1.5,2,4.8
84,I. CANAANISAIAH CANAAN,"UNK, OLY",64,39,19,8.5,1.1,2.6,40.8,1.8,4.5,40.1,0.9,1.1,76.7,0.3,1,1.3,1.1,0.6,1.1,0.1,0.3,2.3,1.4,4.8
85,C. WALLACEC.J. WALLACE,"FCB, EA7",76,14,15,4,0.7,1.7,41.1,0.6,1.9,34.5,0.7,1,69.7,0.9,2.4,3.3,0.9,0.6,0.5,0.2,0.2,2.2,1.3,4.8
